book title,author,rating,image name,discipline
How to Know a Person,David Brooks,5,How to Know a Person.jpg,Psychology & Behavioral Science
The Lean Startup,Eric Ries,5,The Lean Startup.jpg,Business & Economics
The Startup Owner's Manual,Steve Blank,5,The Startup Owners Manual.jpg,Business & Economics
Shoe Dog,Phil Knight,5,Shoe Dog.jpg,Business & Economics
Prisoners of Geography,Tim Marshall,5,Prisoners of Geography.jpg,"Philosophy, Politics & World Affairs"
The Wisdom Of Finance,Mihir Desai,5,The Wisdom of Finance.jpg,Business & Economics
The Hitchhiker's Guide to the Galaxy,Douglas Adams,5,The Hitchhikers Guide to the Galaxy.jpg,Fiction
The Da Vinci Code,Dan Brown,5,The Da Vinci Code.jpg,Fiction
You're Not Listening,Kate Murphy,5,Youre Not Listening.jpg,Psychology & Behavioral Science
Outliers,Malcolm Gladwell,5,Outliers.jpg,Psychology & Behavioral Science
Zero to One,Peter Thiel,5,Zero to One.jpg,Business & Economics
Atomic Habits,James Clear,5,Atomic Habits.jpg,Psychology & Behavioral Science
The Courage to Be Disliked,Ichiro Kishimi,5,The Courage to Be Disliked.jpg,"Philosophy, Politics & World Affairs"
The Secret Life of Groceries,Benjamin Lorr,5,The Secret Life of Groceries.jpg,Business & Economics
The Alchemist,Paulo Coelho,5,The Alchemist.jpg,Fiction
Meditations of Marcus Aurelius,Marcus Aurelius,5,Meditations.jpg,"Philosophy, Politics & World Affairs"
A Promised Land,Barack Obama,5,A Promised Land.jpg,"Philosophy, Politics & World Affairs"
Storyworthy,Matthew Dicks,5,Storyworthy.jpg,Psychology & Behavioral Science
The Cold Start Problem,Andrew Chen,5,The Cold Start Problem.jpg,Business & Economics
Alice's Adventures in Wonderland,Lewis Carroll,5,Alices Adventures in Wonderland.jpg,Fiction
Talking to Strangers,Malcolm Gladwell,5,Talking to Strangers.jpg,Psychology & Behavioral Science
2030: How Today's Biggest Trends Will Collide and Reshape the Future of Everything,Mauro F. Guillen,4,2030.jpg,"Philosophy, Politics & World Affairs"
Travels with Charley: In Search of America,John Steinbeck,4,Travels with Charley.jpg,"Philosophy, Politics & World Affairs"
Contagious,Jonah Berger,4,Contagious.jpg,Psychology & Behavioral Science
"Poverty, by America",Matthew Desmond,4,Poverty by America.jpg,Business & Economics
Ender's Game,Orson Scott Card,4,Enders Game.jpg,Fiction
The Coddling of the American Mind,Jonathan Haidt,4,The Coddling of the American Mind.jpg,Psychology & Behavioral Science
Freakonomics Revised and Expanded Edition,Steven D. Levitt,4,Freakonomics.jpg,Business & Economics
The Innovator's Dilemma,Clayton M. Christensen,4,The Innovators Dilemma.jpg,Business & Economics
"Walden or, Life in the Woods",Henry David Thoreau,4,Walden.jpg,"Philosophy, Politics & World Affairs"
Ready Player One,Ernest Cline,4,Ready Player One.jpg,Fiction
The Tipping Point,Malcolm Gladwell,4,The Tipping Point.jpg,Psychology & Behavioral Science
Hackers & Painters,Paul Graham,4,Hackers and Painters.jpg,"Philosophy, Politics & World Affairs"
